"","Var1","Freq","percentage"
"169","g__Daldinia",1,0
"170","g__Debaryomyces",5,0.01
"171","g__Dendryphion",11,0.03
"172","g__Densocarpa",2,0.01
"173","g__Dentocorticium",1,0
"174","g__Dichostereum",2,0.01
"175","g__Dichotomopilus",27,0.08
"176","g__Dictyochaeta",27,0.08
"177","g__Dictyosporella",40,0.11
"178","g__Didymella",43,0.12
"179","g__Didymocyrtis",42,0.12
"180","g__Dinemasporium",3,0.01
"181","g__Dioszegia",3,0.01
"182","g__Diplonaevia",2,0.01
"183","g__Disciseda",118,0.33
"184","g__Discosia",2,0.01
"185","g__Distoseptispora",2,0.01
"186","g__Diversispora",22,0.06
"187","g__Dominikia",9,0.03
"188","g__Donadinia",8,0.02
"189","g__Dothiorella",1,0
"190","g__Duportella",1,0
"191","g__Echinoderma",1,0
"192","g__Edenia",11,0.03
"193","g__Elaphomyces",1,0
"194","g__Emericellopsis",46,0.13
"195","g__Endophragmiella",19,0.05
"196","g__Enterocarpus",2,0.01
"197","g__Entoloma",172,0.48
"198","g__Entyloma",1,0
"199","g__Eocronartium",8,0.02
"200","g__Epicoccum",102,0.29
"201","g__Eriospora",2,0.01
"202","g__Erythrobasidium",2,0.01
"203","g__Eucasphaeria",132,0.37
"204","g__Exidia",1,0
"205","g__Exophiala",374,1.05
"206","g__Exserohilum",23,0.06
"207","g__Fibroporia",1,0
"208","g__Fibulochlamys",1,0
"209","g__Filobasidium",10,0.03
"210","g__Fimicolochytrium",3,0.01
"211","g__Flabellascoma",8,0.02
"212","g__Fomitiporia",2,0.01
"213","g__Fomitopsis",1,0
"214","g__Fonsecaea",1,0
"215","g__Funneliformis",22,0.06
"216","g__Furcasterigmium",12,0.03
"217","g__Fusarium",368,1.03
"218","g__Fusicolla",101,0.28
"219","g__Fusidium",3,0.01
"220","g__Gaertneriomyces",1,0
"221","g__Gaeumannomyces",21,0.06
"222","g__Galactomyces",34,0.1
"223","g__Galerella",3,0.01
"224","g__Galerina",1,0
"225","g__Galiicola",1,0
"226","g__Gamszarea",13,0.04
"227","g__Ganoderma",127,0.36
"228","g__Geastrum",1,0
"229","g__Gelasinospora",2,0.01
"230","g__Geminibasidium",4,0.01
"231","g__Gemmina",1,0
"232","g__Geosmithia",1,0
"233","g__Gibellulopsis",3,0.01
"234","g__Gigaspora",22,0.06
"235","g__Gilbertella",11,0.03
"236","g__Gliomastix",5,0.01
"237","g__Glomus",81,0.23
"238","g__Gregarithecium",1,0
"239","g__Grifola",2,0.01
"240","g__Gryganskiella",1,0
"241","g__Gymnopilus",4,0.01
"242","g__Gymnopus",1,0
"243","g__Gymnostellatospora",1,0
"244","g__Gyroporus",2,0.01
"245","g__Halosarpheia",1,0
"246","g__Hannaella",27,0.08
"247","g__Hazslinszkyomyces",1,0
